United States,,,,
number,Location,Code,Type,Amazon warehouse address
1,Alabama,BHM1,FC,"975 Powder Plant Rd, Bessemer, AL 35022, United States"
2,Alabama,DPX7,,"3405 S. McQueen Rd, Chandler, AZ"
3,Alabama,MOB5,DC,"6735 Trippel Rd, Theodore, AL 36582, United States"
4,Alabama,MOB9,,"6735 Trippel Rd., Theodore, AL"
5,Alabama,SUHB,,"4675 Appaloosa Dr, Irondale, AL"
6,Alabama,SUHD,,"4675 Appaloosa Drive, Irondale, AL"
7,Arizona,SAZ1,FC,"3333 S 7th St., Phoenix, AZ 850401182 , Maricopa County"
8,Arizona,TUS1,Reverse Logistics,"533 W Lower Buckeye Rd, Phoenix, Arizona, 85043 , Maricopa County"
9,Arizona,TUS2,FC,"6701 S. Kolb Rd., Tucson, AZ 85756 , Pima County"
10,Arizona,AZA4,,"3333 S 59th Ave, Phoenix, Arizona"
11,Arizona,AZA5,,"6000 W Van Buren St., Phoenix, Arizona"
12,Arizona,AZA6,,"2150 East Riverview Drive, Phoenix, Arizona"
13,Arizona,DPX1,FC,"500 S. 48th Street, Phoenix, AZ 85034"
14,Arizona,DPX3,FC,"7 E Chandler Blvd, Chandler, AZ 85225"
15,Arizona,DPX8,,"7875 W Buckeye Rd, Phoenix, AZ"
16,Arizona,DTU8,,"3003 S 38th St, Phoenix, AZ"
17,Arizona,GYR4,,"10205 W Roosevelt St, Avondale, AZ"
18,Arizona,PHX3,FC,"6835 W. Buckeye Rd. Phoenix, AZ, 85043"
19,Arizona,PHX5,FC,"16920 W. Commerce Drive, Goodyear, AZ 85338"
20,Arizona,PHX6,FC,"4750 W. Mohave Street, Phoenix, AZ 85043"
21,Arizona,PHX7,FC,"800 N. 75th Avenue, Phoenix, AZ 85043"
22,Arizona,PHX8,FC,"800 N. 75th Ave Phoenix, AZ, 85043 – Maricopa County"
23,Arizona,PHX9,FC,"777 S 79th Avenue, Tolleson, Maricopa County, AZ 85353 Arizona"
24,Arizona,RAZ1,FC,"22 W Washington St, Phoenix, AZ 85004"
25,Arizona,RPX1,FC,"7 W Broadway Rd, Phoenix, AZ 85040"
26,Arizona,SUBJ,,"1104 W Geneva Dr, Tempe, AZ"
27,Arizona,,,"1104 W Geneva Dr, Tempe, AZ"
28,Arizona,SUPR,,"9414 E San Salvador Dr, Scottsdale, AZ"
29,Arizona,TAZ1,,"500 S 48th St, Phoenix, AZ"
30,Arizona,TFC1,FC,"5050 W. Mohave Street, Phoenix, AZ 85043"
31,Arizona,UAZ1,FC,"Phoenix, AZ 85001"
32,Arizona,XUSH,FC,"7037 West Van Buren Street, Pheonix, AZ 85043"
33,California,ONT3,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County"
34,California,ONT4,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County"
35,California,ABE7,FC,"12510 Micro Dr, Mira Loma, CA 91752"
36,California,BEK1,,"2495 Bancroft Way Room 235, MLK Student Union Building, Berkeley,"
37,California,BEK1,,"2495 Bancroft Way Room 235, MLK Student Union Building, Berkeley,"
38,California,BFL1,Corporate Office,"1601 Petrol Road, Bakersfield, California, 93308 , Kern County"
39,California,BUR2,,"925 Westwood Boulevard, Los Angeles, CA"
40,California,CCO1,FC,"7300 Central Ave, Highland, CA 92407"
41,California,CSD1,,"9500 Gilman Drive #0102, La Jolla, CA"
42,California,DAV1,FC,"1 Shields Ave, Room 182, Davis, CA 95616"
43,California,DCA2,DC,"5250 Goodman Road, Eastvale, CA 92880 – Riverside County"
44,California,DCK1,FC,"123-127 E Yosemite Ave, Manteca, CA 95336"
