msa_id,msa_name,msa_population,zip,city,state,zip_population
35620,"New York-Newark-Jersey City, NY-NJ",19498249,11368,Corona,NY,108661
31080,"Los Angeles-Long Beach-Anaheim, CA",12799100,90011,Los angeles,CA,110750
16980,"Chicago-Naperville-Elgin, IL-IN",9262559,60629,Chicago,IL,107930
19100,"Dallas-Fort Worth-Arlington, TX",8100037,75034,Frisco,TX,116155
26420,"Houston-Pasadena-The Woodlands, TX",7510252,77494,Park row,TX,126310
12060,"Atlanta-Sandy Springs-Roswell, GA",6305839,30044,Zcta 30044,GA,93987
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304449,22193,Dale city,VA,82060
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160,19120,Philadelphia,PA,74270
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199,33311,Fort lauderdale,FL,75705
38060,"Phoenix-Mesa-Chandler, AZ",5070110,85032,Phoenix,AZ,73212
14460,"Boston-Cambridge-Newton, MA-NH",4919179,02301,Zcta 02301,MA,63920
40140,"Riverside-San Bernardino-Ontario, CA",4688053,92335,Fontana,CA,99242
41860,"San Francisco-Oakland-Fremont, CA",4566961,94565,Shore acres,CA,97249
19820,"Detroit-Warren-Dearborn, MI",4342304,48180,Taylor,MI,61164
42660,"Seattle-Tacoma-Bellevue, WA",4044837,98052,Redmond,WA,71940
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020,55106,Saint paul,MN,58335
45300,"Tampa-St. Petersburg-Clearwater, FL",3342963,33647,Tampa,FL,74066
41740,"San Diego-Chula Vista-Carlsbad, CA",3269973,92154,San diego,CA,89886
19740,"Denver-Aurora-Centennial, CO",3005131,80013,Aurora,CO,74293
12580,"Baltimore-Columbia-Towson, MD",2834316,21234,Parkville,MD,68678
36740,"Orlando-Kissimmee-Sanford, FL",2817933,34787,Winter garden,FL,74842
16740,"Charlotte-Concord-Gastonia, NC-SC",2805115,28269,Charlotte,NC,79059
41180,"St. Louis, MO-IL",2795504,63376,Saint peters,MO,75031
41700,"San Antonio-New Braunfels, TX",2703999,78130,Canyon lake,TX,79786
38900,"Portland-Vancouver-Hillsboro, OR-WA",2509925,97006,Aloha,OR,74152
12420,"Austin-Round Rock-San Marcos, TX",2473275,78660,Pflugerville,TX,101937
38300,"Pittsburgh, PA",2422725,15601,Greensburg,PA,56328
40900,"Sacramento-Roseville-Folsom, CA",2420608,95823,Sacramento,CA,80842
29820,"Las Vegas-Henderson-North Las Vegas, NV",2336573,89108,Las vegas,NV,75201
17140,"Cincinnati, OH-KY-IN",2272910,45011,Hamilton,OH,72320
28140,"Kansas City, MO-KS",2219865,66062,Olathe,KS,82591
18140,"Columbus, OH",2180271,43123,Grove city,OH,66649
17410,"Cleveland, OH",2158932,44256,Medina,OH,63462
26900,"Indianapolis-Carmel-Greenwood, IN",2139689,46143,Greenwood,IN,55965
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2104235,37013,Antioch,TN,99109
41980,"San Juan-Bayamón-Caguas, PR",2037875,,,,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",1945767,95035,Milpitas,CA,75367
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1781671,23464,Virginia beach,VA,77623
27260,"Jacksonville, FL",1713240,32218,Jacksonville,FL,65878
39300,"Providence-Warwick, RI-MA",1677803,02780,Taunton,MA,50299
33340,"Milwaukee-Waukesha, WI",1560424,53215,West milwaukee,WI,61028
39580,"Raleigh-Cary, NC",1509231,27610,Raleigh,NC,80973
36420,"Oklahoma City, OK",1477926,73099,Yukon,OK,72074
31140,"Louisville/Jefferson County, KY-IN",1364742,47150,New albany,IN,48237
40060,"Richmond, VA",1350123,23112,Midlothian,VA,55165
32820,"Memphis, TN-MS-AR",1335549,38017,Collierville,TN,55884
41620,"Salt Lake City-Murray, UT",1267864,84095,South jordan,UT,73808
13820,"Birmingham, AL",1184290,35242,Shoal creek,AL,56713
23420,"Fresno, CA",1180020,93722,Fresno,CA,85811
24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950,49424,Holland,MI,47997
15380,"Buffalo-Cheektowaga, NY",1155604,14221,Williamsville,NY,53727
25540,"Hartford-West Hartford-East Hartford, CT",1151543,06457,Middletown,CT,46406
46060,"Tucson, AZ",1063162,85706,Tucson,AZ,57712
40380,"Rochester, NY",1052087,14580,Webster,NY,53593
46140,"Tulsa, OK",1044287,74012,Broken arrow,OK,61855
46520,"Urban Honolulu, HI",989408,96706,Ewa beach,HI,76081
36540,"Omaha, NE-IA",984548,68104,Omaha,NE,37582
24860,"Greenville-Anderson-Greer, SC",975480,29681,Simpsonville,SC,64806
35380,"New Orleans-Metairie, LA",962165,70072,Marrero,LA,55967
14860,"Bridgeport-Stamford-Danbury, CT",951558,06902,Stamford,CT,70199
28940,"Knoxville, TN",947017,37918,Knoxville,TN,45107
10740,"Albuquerque, NM",923518,87121,Albuquerque,NM,77671
12540,"Bakersfield-Delano, CA",913820,93307,Bakersfield,CA,86273
35840,"North Port-Bradenton-Sarasota, FL",910108,34221,Palmetto,FL,50857
10580,"Albany-Schenectady-Troy, NY",904682,12180,Troy,NY,53181
32580,"McAllen-Edinburg-Mission, TX",898471,78572,Alton,TX,80135
12940,"Baton Rouge, LA",873661,70726,Port vincent,LA,57561
10900,"Allentown-Bethlehem-Easton, PA-NJ",873555,18102,Allentown,PA,50702
21340,"El Paso, TX",872063,79936,El paso,TX,108668
49340,"Worcester, MA",866866,01453,Leominster,MA,41654
17900,"Columbia, SC",856889,29072,Lexington,SC,64143
16700,"Charleston-North Charleston, SC",849417,29483,Summerville,SC,91630
15980,"Cape Coral-Fort Myers, FL",834573,34135,Zcta 34135,FL,49455
37100,"Oxnard-Thousand Oaks-Ventura, CA",829590,93033,Oxnard,CA,84902
14260,"Boise City, ID",826521,83709,Boise,ID,60449
29460,"Lakeland-Winter Haven, FL",818330,33810,Zcta 33810,FL,51595
19430,"Dayton-Kettering-Beavercreek, OH",814363,45424,Huber heights,OH,51344
44700,"Stockton-Lodi, CA",800965,95206,Stockton,CA,65643
24660,"Greensboro-High Point, NC",789842,27406,Greensboro,NC,62757
