zip,city,state,population,msa_id,msa_name,coverage_status,inferred_offer_type,source
44067,Northfield,OH,20449,10420,"Akron, OH",none,,phase3_full_zip_probe
44087,Twinsburg,OH,21124,10420,"Akron, OH",none,,phase3_full_zip_probe
44202,Reminderville,OH,20234,10420,"Akron, OH",none,,phase3_full_zip_probe
44203,Norton,OH,40318,10420,"Akron, OH",error,,phase3_full_zip_probe
44221,Cuyahoga falls,OH,28271,10420,"Akron, OH",none,,phase3_full_zip_probe
44224,Stow,OH,39306,10420,"Akron, OH",none,,phase3_full_zip_probe
44236,Hudson,OH,25281,10420,"Akron, OH",none,,phase3_full_zip_probe
44240,Kent,OH,39778,10420,"Akron, OH",none,Whole_Foods,phase3_full_zip_probe
44266,Ravenna,OH,33386,10420,"Akron, OH",none,,phase3_full_zip_probe
44305,Akron,OH,22130,10420,"Akron, OH",none,,phase3_full_zip_probe
44306,Akron,OH,21281,10420,"Akron, OH",none,,phase3_full_zip_probe
44310,Akron,OH,26325,10420,"Akron, OH",full_fresh,AmazonFresh,phase3_full_zip_probe
44312,Akron,OH,31887,10420,"Akron, OH",none,,phase3_full_zip_probe
44313,Akron,OH,26729,10420,"Akron, OH",none,,phase3_full_zip_probe
44319,Akron,OH,22635,10420,"Akron, OH",none,,phase3_full_zip_probe
44320,Akron,OH,18809,10420,"Akron, OH",none,Whole_Foods,phase3_full_zip_probe
44333,Fairlawn,OH,18669,10420,"Akron, OH",none,Whole_Foods,phase3_full_zip_probe
44685,Uniontown,OH,28029,10420,"Akron, OH",none,,phase3_full_zip_probe
12020,Ballston spa,NY,33235,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12047,Cohoes,NY,21453,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12054,Delmar,NY,16948,10580,"Albany-Schenectady-Troy, NY",full_fresh,AmazonFresh,phase3_full_zip_probe
12065,Clifton park,NY,42432,10580,"Albany-Schenectady-Troy, NY",none,Whole_Foods,phase3_full_zip_probe
12110,Latham,NY,21223,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12118,Mechanicville,NY,16467,10580,"Albany-Schenectady-Troy, NY",none,Whole_Foods,phase3_full_zip_probe
12144,Rensselaer,NY,20604,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12180,Troy,NY,53181,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12189,Watervliet,NY,17945,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12203,Mc kownville,NY,30837,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12205,Roessleville,NY,26039,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12206,,,,10580,"Albany-Schenectady-Troy, NY",full_fresh,Whole_Foods,phase1_msa_probe
12208,Albany,NY,20517,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12210,,,,10580,"Albany-Schenectady-Troy, NY",full_fresh,Whole_Foods,phase1_msa_probe
12302,Mayfair,NY,27665,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12303,Rotterdam,NY,29416,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12304,Schenectady,NY,20929,10580,"Albany-Schenectady-Troy, NY",ambient_fresh,,phase3_full_zip_probe
12306,Schenectady,NY,26934,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12309,Niskayuna,NY,30992,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
12831,Gansevoort,NY,17389,10580,"Albany-Schenectady-Troy, NY",ambient_fresh,,phase3_full_zip_probe
12866,Wilton,NY,38732,10580,"Albany-Schenectady-Troy, NY",none,,phase3_full_zip_probe
87002,Boys ranch,NM,21804,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87031,Los lunas,NM,44542,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87102,Albuquerque,NM,19486,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87104,Albuquerque,NM,13679,10740,"Albuquerque, NM",none,Whole_Foods,phase3_full_zip_probe
87105,Albuquerque,NM,57365,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87106,Albuquerque,NM,25299,10740,"Albuquerque, NM",ambient_fresh,,phase3_full_zip_probe
87107,Albuquerque,NM,29735,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87108,Albuquerque,NM,37572,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87109,Albuquerque,NM,39961,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87110,Albuquerque,NM,39581,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87111,Albuquerque,NM,57389,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87112,Albuquerque,NM,41406,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87113,Albuquerque,NM,16098,10740,"Albuquerque, NM",none,Whole_Foods,phase3_full_zip_probe
87114,Alameda,NM,69752,10740,"Albuquerque, NM",none,Whole_Foods,phase3_full_zip_probe
87120,Albuquerque,NM,64398,10740,"Albuquerque, NM",full_fresh,,phase3_full_zip_probe
87121,Albuquerque,NM,77671,10740,"Albuquerque, NM",none,Whole_Foods,phase3_full_zip_probe
87122,Albuquerque,NM,18870,10740,"Albuquerque, NM",none,Whole_Foods,phase3_full_zip_probe
87123,Albuquerque,NM,44103,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
87124,Rio rancho,NM,55409,10740,"Albuquerque, NM",none,,phase3_full_zip_probe
07840,Hackettstown,NJ,30347,10900,"Allentown-Bethlehem-Easton, PA-NJ",none,,phase3_full_zip_probe
