zip,city,state,population,dma_name,dma_tier,amazon_sameday_msa_status,amazon_sameday_50mi_coverage,notes
99501,Anchorage,AK,15961,Anchorage,small,,outside_50mi_radius,
99502,Anchorage,AK,25215,Anchorage,small,,outside_50mi_radius,
99503,Anchorage,AK,13017,Anchorage,small,,outside_50mi_radius,
99504,Anchorage,AK,41739,Anchorage,small,,outside_50mi_radius,
99505,Fort richardson,AK,6054,Anchorage,small,,outside_50mi_radius,
99506,Elmendorf afb,AK,7263,Anchorage,small,,outside_50mi_radius,
99507,Anchorage,AK,36403,Anchorage,small,,outside_50mi_radius,
99508,Anchorage,AK,38042,Anchorage,small,,outside_50mi_radius,
99513,Anchorage,AK,0,Anchorage,small,,outside_50mi_radius,
99515,Anchorage,AK,22226,Anchorage,small,,outside_50mi_radius,
99516,Anchorage,AK,20874,Anchorage,small,,outside_50mi_radius,
99517,Anchorage,AK,15802,Anchorage,small,,outside_50mi_radius,
99518,Anchorage,AK,10737,Anchorage,small,,outside_50mi_radius,
99540,Indian,AK,301,Anchorage,small,,outside_50mi_radius,
99546,Zcta 99546,AK,188,,,,outside_50mi_radius,
99547,Atka,AK,43,,,,outside_50mi_radius,
99548,Chignik lake,AK,52,,,,outside_50mi_radius,
99549,Port heiden,AK,62,,,,outside_50mi_radius,
99550,Port lions,AK,145,,,,outside_50mi_radius,
99551,Akiachak,AK,461,,,,outside_50mi_radius,
99552,Akiak,AK,298,,,,outside_50mi_radius,
99553,Akutan,AK,760,,,,outside_50mi_radius,
99554,Alakanuk,AK,1063,,,,outside_50mi_radius,
99555,Aleknagik,AK,133,,,,outside_50mi_radius,
99556,Nikolaevsk,AK,2684,Anchorage,small,,outside_50mi_radius,
99557,Chuathbaluk,AK,711,,,,outside_50mi_radius,
99558,Anvik,AK,85,,,,outside_50mi_radius,
99559,Atmautluak,AK,8036,,,,outside_50mi_radius,
99561,Chefornak,AK,413,,,,outside_50mi_radius,
99563,Chevak,AK,817,,,,outside_50mi_radius,
99564,Chignik,AK,42,,,,outside_50mi_radius,
99565,Chignik lagoon,AK,35,,,,outside_50mi_radius,
99566,Chitina,AK,71,,,,outside_50mi_radius,
99567,Chugiak,AK,8872,Anchorage,small,,outside_50mi_radius,
99568,Clam gulch,AK,352,Anchorage,small,,outside_50mi_radius,
99569,Clarks point,AK,37,,,,outside_50mi_radius,
99571,Nelson lagoon,AK,221,,,,outside_50mi_radius,
99572,Cooper landing,AK,273,Anchorage,small,,outside_50mi_radius,
99573,Copper center,AK,798,,,,outside_50mi_radius,
99574,Chenega bay,AK,2302,,,,outside_50mi_radius,
99575,Crooked creek,AK,57,,,,outside_50mi_radius,
99576,Koliganek,AK,2384,,,,outside_50mi_radius,
99577,Eagle river,AK,27333,Anchorage,small,,outside_50mi_radius,
99578,Eek,AK,575,,,,outside_50mi_radius,
99579,Egegik,AK,51,,,,outside_50mi_radius,
99580,Ekwok,AK,68,,,,outside_50mi_radius,
99581,Emmonak,AK,1065,,,,outside_50mi_radius,
99583,False pass,AK,75,,,,outside_50mi_radius,
99585,Marshall,AK,168,,,,outside_50mi_radius,
99586,Slana,AK,389,,,,outside_50mi_radius,
99587,Girdwood,AK,2025,Anchorage,small,,outside_50mi_radius,
99588,Glennallen,AK,1372,,,,outside_50mi_radius,
99589,Goodnews bay,AK,127,,,,outside_50mi_radius,
99590,Grayling,AK,200,,,,outside_50mi_radius,
99591,Saint george isl,AK,102,,,,outside_50mi_radius,
99602,Holy cross,AK,257,,,,outside_50mi_radius,
99603,Port graham,AK,10872,Anchorage,small,,outside_50mi_radius,
99604,Hooper bay,AK,875,,,,outside_50mi_radius,
99605,Hope,AK,118,Anchorage,small,,outside_50mi_radius,
99606,Kokhanok,AK,275,,,,outside_50mi_radius,
99607,Kalskag,AK,239,,,,outside_50mi_radius,
99609,Kasigluk,AK,414,,,,outside_50mi_radius,
99610,Kasilof,AK,2199,Anchorage,small,,outside_50mi_radius,
99611,Kenai,AK,14929,Anchorage,small,,outside_50mi_radius,
